FCLTY_KND,TRGET_FCLTY_NM,RDNMADR,LNMADR,LATITUDE,LONGITUDE,CCTV_YN,CCTV_NUMBER,REFERENCEDATE
초등학교,"대전문화초교,대전문성초교,꿈내리유치원",대전광역시 중구 문화로78번안길 70,,36.3100912921,127.3965512440,Y,11,2022-12-10
초등학교,대전글꽃초교,대전광역시 중구 계룡로918번길 97,,36.3192311734,127.4110582130,Y,4,2022-12-10
초등학교,대전대신초교,대전광역시 중구 솔밭로16번길 17,,36.3162665685,127.4180777560,Y,4,2022-12-10
초등학교,대흥초교,대전광역시 중구 수도산로 12,,36.3203706990,127.4264047870,Y,2,2022-12-10
초등학교,대전문창초교,대전광역시 중구 문창로 55,,36.3170292037,127.4344049130,Y,3,2022-12-10
초등학교,대전천동초교,대전광역시 동구 천동초등동길 60,,36.3164981771,127.4442478700,Y,3,2022-12-10
어린이집,해피아이어린이집,,대전광역시 중구 석교동 62-43,36.3107206647,127.4384823450,Y,2,2022-12-10
어린이집,(하늘어린이집)도원어린이집,대전광역시 동구 신기로 65,,36.3095368043,127.4528275630,Y,1,2022-12-10
특수학교,"대전맹학교,단비어린이집",대전광역시 동구 은어송로 95,,36.3079730548,127.4582895580,Y,1,2022-12-10
초등학교,대전가오초교,대전광역시 동구 신기로 112,,36.3108385890,127.4574871390,Y,3,2022-12-10
초등학교,대전판암초교,대전 동구 옥천로180번길 32,,36.3154646420,127.4617325020,Y,4,2022-12-10
초등학교,"대전대암초교,초롱어린이집",대전광역시 동구 동부로 55-61,,36.3213333361,127.4590788230,Y,3,2022-12-10
유치원,동화나라유치원,대전광역시 중구 산성로138번길 65-18,,36.3099419879,127.4055379430,Y,2,2022-12-10
어린이집,대전성모어린이집,,대전광역시 중구 대흥동 520-1,36.3239734815,127.4197534030,Y,2,2022-12-10
기타,충남대학교병원,,대전광역시 중구 대사동 658,36.3178637240,127.4145513650,Y,1,2022-12-10
초등학교,대전신평초교,대전광역시 중구 평촌로 19,,36.3218566531,127.3903912400,Y,4,2022-12-10
초등학교,대전신흥초교,대전광역시 동구 동대전로46번길 76,,36.3245486244,127.4407747360,Y,2,2022-12-10
초등학교,기성초교,대전광역시 서구 기성초교길 42,,36.2508766673,127.3390546430,Y,1,2022-12-10
