FCLTY_KND,TRGET_FCLTY_NM,RDNMADR,LNMADR,LATITUDE,LONGITUDE,CCTV_YN,CCTV_NUMBER,REFERENCEDATE
특수학교,대전성세재활학교(사회복지법인성재원),대전 유성구 유성대로298번길 175,,36.3221262255,127.3192339070,Y,1,2022-12-10
유치원,"벧엘유치원,예그리나어린이집,킨더그림어린이집,원광",대전 유성구 월드컵대로253번안길 21,,36.3490693644,127.3300431660,Y,6,2022-12-10
유치원,맑은해유치원,대전 서구 신갈마로 102,,36.3419977334,127.3698356570,Y,1,2022-12-10
어린이집,그린어린이집,대전 서구 갈마중로8번길 23,,36.3462597217,127.3704296190,Y,2,2022-12-10
유치원,"한나유치원,한나영재어린이집",대전 대덕구 덕암로159번길 30,,36.4352828488,127.4204574520,Y,2,2022-12-10
초등학교,흥도초교,대전 유성구 원신흥남로 20,,36.3347241200,127.3401160020,Y,3,2022-12-10
유치원,ibs꿈내리유치원,대전 서구 원도안로242번길 24,,36.3246340144,127.3462052030,N,0,2022-12-10
어린이집,한빛어린이집,대전 유성구 현충원로 479,,36.3594397009,127.3223537060,Y,1,2022-12-10
유치원,아이캔킨더유치원,대전 유성구 노은서로142번길 24,,36.3725172712,127.3159291880,Y,2,2022-12-10
유치원,전원유치원,대전 유성구 현충원로480번길 20,,36.3589001811,127.3237538290,Y,1,2022-12-10
초등학교,월평초교,대전 서구 월평서로 22,,36.3550536153,127.3575989670,Y,2,2022-12-10
초등학교,어은초교,대전 유성구 농대로 46,,36.3640207288,127.3529137590,Y,2,2022-12-10
기타,신탄중앙중교,대전 대덕구 덕암로233번길 24,,36.4419511262,127.4239095410,Y,2,2022-12-10
어린이집,근로복지공단대전어린이집,대전 동구 백룡로5번길 143,,36.3421869206,127.4510242260,Y,1,2022-12-10
초등학교,대전상지초교,대전 유성구 노은동로 165,,36.3759713089,127.3216240620,Y,2,2022-12-10
초등학교,대전계산초교,대전 유성구 학하서로 74,,36.3432735519,127.2989874670,Y,1,2022-12-10
어린이집,꾸러기어린이집,대전 서구 갈마로117번길 52,,36.3440577653,127.3712231240,Y,3,2022-12-10
유치원,마키루키꿈샘유치원,대전 유성구 봉명로 48,,36.3418713369,127.3436596980,Y,2,2022-12-10
어린이집,"이지어린이집,하브루타kids어린이집",대전 대덕구 덕암로148번안길 82,,36.4357808149,127.4243921640,Y,4,2022-12-10
유치원,해나라유치원,대전 대덕구 덕암로195번길 37,,36.4382911695,127.4212288450,Y,3,2022-12-10
초등학교,대전봉산초교,대전 서구 신갈마로141번길 45,,36.3448807922,127.3660572940,Y,5,2022-12-10
어린이집,목련어린이집,대전 서구 신갈마로 58-22,,36.3395230356,127.3675029180,Y,1,2022-12-10
초등학교,대전상대초교,대전 유성구 월드컵대로 322,,36.3467589109,127.3355938500,Y,2,2022-12-10
초등학교,대전봉명초교,대전 유성구 계룡로132번길 62,,36.3495836452,127.3442430900,Y,1,2022-12-10
어린이집,꿈엔들어린이집,대전 대덕구 아리랑로113번길 53,,36.3753473027,127.4200996010,Y,5,2022-12-10
유치원,장미유치원,대전 대덕구 아리랑로197번길 48,,36.3757792723,127.4263820810,Y,2,2022-12-10
어린이집,좋은생각어린이집,대전 대덕구 신탄진로218번길 73,,36.4026569378,127.4238838190,Y,1,2022-12-10
초등학교,문지초교,대전 유성구 전민로 41,,36.3964147695,127.4017765190,Y,3,2022-12-10
초등학교,와동초교,대전 대덕구 신탄진로 189,,36.3983709623,127.4220183640,Y,2,2022-12-10
어린이집,공립회덕하나푸르니어린이집,대전 대덕구 대전로 1376,,36.3757766993,127.4223492470,Y,4,2022-12-10
초등학교,대전용산초교,대전 유성구 배울2로 101,,36.4196699843,127.3936984840,N,0,2022-12-10
어린이집,한국타이어앤테크놀로지대전공장HKIDZ어린이집,대전 대덕구 대덕대로1514번길 11,,36.4480061891,127.4162309910,Y,2,2022-12-10
어린이집,하늘별어린이집,대전 대덕구 덕암북로96번길 18,,36.4431722303,127.4259615760,Y,2,2022-12-10
외국인학교,대전외국인학교,대전 유성구 용산2로 77,,36.4164770152,127.3974258920,Y,1,2022-12-10
초등학교,동명초교,대전 동구 천개동로 16,,36.3732693492,127.4741617420,Y,6,2022-12-10
어린이집,송강어린이집,대전 유성구 봉산로 33,,36.4356302366,127.3865243920,Y,4,2022-12-10
어린이집,하늘꿈어린이집,대전 대덕구 신탄진동로24번길 42,,36.4459494140,127.4324194840,Y,1,2022-12-10
어린이집,문평어린이집,대전 대덕구 문평동로18번길 26,,36.4462098440,127.4044594660,Y,2,2022-12-10
어린이집,리라어린이집,대전 대덕구 중리로63번길 36-10,,36.3658312273,127.4235112060,Y,1,2022-12-10
초등학교,구즉초교,대전 유성구 구룡달전로 34,,36.4400227296,127.3827316600,Y,1,2022-12-10
유치원,그린유치원,,대전광역시 유성구 송강동 199,36.4322996612,127.3814339200,N,0,2022-12-10
